0	6,14,38,46,62,78,86,110,150,206,222,270,310,318,358,366,382,398,430,438,446,454,494,502,518,526,534,574,582,638,670,678,686,690,704,734,750,774,790,878,886,902,918,958,966,990,
1	6,22,38,39,77,84,118,126,182,225,254,342,382,422,430,464,470,494,590,630,638,654,662,678,693,694,702,742,782,798,801,817,854,966,998,
2	7,14,36,38,86,94,95,134,214,238,246,270,318,326,334,366,390,422,454,462,534,558,574,678,694,718,726,742,758,774,854,860,862,910,934,939,958,966,974,
3	22,46,78,86,94,110,118,129,132,142,182,214,230,342,390,414,422,478,486,526,534,542,574,590,606,624,646,662,670,678,702,718,742,758,766,798,847,918,982,
4	14,70,86,94,110,118,139,142,173,254,270,286,338,382,406,446,502,513,515,582,646,678,718,726,742,798,838,846,854,902,921,990,
5	16,64,104,128,176,208,216,360,413,432,469,473,536,544,576,584,600,728,784,816,855,984,
6	148,192,224,240,408,672,784,960,
7	24,72,136,152,173,176,192,296,312,480,528,542,544,552,560,586,600,696,736,776,784,824,864,872,927,992,
8	240,252,256,272,400,448,456,480,600,672,704,728,760,805,832,864,883,888,912,
9	0,88,96,117,128,136,168,176,192,248,280,343,347,368,376,384,385,456,480,520,555,564,592,680,720,792,824,920,928,
10	36,40,80,136,144,216,232,288,304,328,384,464,512,552,680,752,776,824,832,834,877,896,984,
11	120,168,216,272,288,496,664,768,796,815,832,848,856,872,
12	80,168,240,304,392,536,584,588,616,620,712,736,768,800,824,920,952,
13	40,97,176,184,216,312,320,360,560,600,688,776,808,816,880,
14	16,48,136,160,203,240,248,320,384,480,512,736,780,784,808,896,920,952,960,984,
15	88,104,168,240,264,384,584,600,688,736,864,872,880,896,904,
16	16,64,88,112,120,144,160,216,272,328,350,352,368,445,472,560,568,600,624,632,644,656,696,776,794,848,872,944,
17	8,17,24,96,136,144,159,184,237,264,268,328,496,544,584,600,608,696,744,751,792,861,872,880,970,
18	24,72,96,160,216,248,302,384,480,552,624,680,688,760,768,792,808,838,840,912,936,984,
19	64,152,232,248,336,431,496,536,616,712,720,729,786,802,910,917,920,984,
20	32,40,104,160,176,232,240,248,296,376,528,599,640,816,824,840,863,864,915,936,991,
21	8,64,195,240,264,288,344,368,403,408,416,417,568,576,600,614,648,656,664,698,768,814,875,885,920,928,936,984,
22	136,192,240,320,386,456,504,528,560,574,635,690,732,776,832,864,
23	81,89,97,137,145,209,281,305,337,361,368,384,401,425,580,601,608,681,747,785,801,833,905,993,
